destination,original,global_rank,domestic_rank,reach_rank
http://www.myctones.blogspot.com,www.myctones.blogspot.com,-,-,-
http://www.ozonebag.com,www.ozonebag.com,6149468,-,6386577
http://m.facebook.com,m.facebook.com,3,2,2
https://bitcointalk.org/,bitcointalk.org,7501,3134,6091
http://eastshoretrade.blogspot.co.id,eastshoretrade.blogspot.co.id,15949783,-,14606679
http://tokoobatbiuswanitaampuh.blogspot.com,tokoobatbiuswanitaampuh.blogspot.com,-,-,-
http://anneuishop.com,anneuishop.com,5566977,-,7121260
http://www.anneuishop.com,www.anneuishop.com,5566977,-,7121260
http://anneuishop.com/m/,www.m.anneuishop.com,5566977,-,7121260
http://www.bodyslimherbalonline.cc,www.bodyslimherbalonline.cc,-,-,-
http://www.bsh-online.com,www.bsh-online.com,-,-,-
http://www.kaskus.co.id/profile/viewallclassified/2034285,bit.ly/wellyerskaskusfjb,316,11,350
http://muhafiku.com,www.muhafiku.com,-,-,-
http://tokousb.com,tokousb.com,-,-,-
http://iftina.com,iftina.com,-,-,-
http://www.indo-ware.com,www.indo-ware.com,1018798,15188,1084038
http://agan.no,agan.no,-,-,-
http://lavorus.com,lavorus.com,8063330,-,6945510
https://facebook.com/yuki.relic,facebook.com/yuki.relic,3,2,2
http://www.facebook.com/coccicosmevampy?_rdr,fb.com/coccicosmevampy,3,2,2
http://www.facebook.com/coccivosmevampy?_rdr,fb.com/coccivosmevampy,3,2,2
